연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.1,0.6,3.1,5,0,0,0,0,8.8,
1973,0,0,0,0,0,0,4,3,0,0,0,0,7,23
1974,0,0,0,0,0,0,0,2,0,0,0,0,2,40
1975,0,0,0,0,0,0,1,8,0,0,0,0,9,20
1976,0,0,0,0,0,1,1,0,0,0,0,0,2,40
1977,0,0,0,0,0,2,8,1,0,0,0,0,11,14
1978,0,0,0,0,0,0,8,5,0,0,0,0,13,11
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1981,0,0,0,0,0,0,4,1,0,0,0,0,5,28
1982,0,0,0,0,0,0,2,4,0,0,0,0,6,26
1983,0,0,0,0,0,0,0,5,0,0,0,0,5,28
1984,0,0,0,0,0,1,3,4,0,0,0,0,8,21
1985,0,0,0,0,0,0,5,6,0,0,0,0,11,14
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1988,0,0,0,0,0,0,0,13,0,0,0,0,13,11
1989,0,0,0,0,0,0,1,3,0,0,0,0,4,30
1990,0,0,0,0,0,0,3,8,0,0,0,0,11,14
1991,0,0,0,0,0,0,0,4,0,0,0,0,4,30
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1994,0,0,0,0,0,2,17,10,0,0,0,0,29,2
1995,0,0,0,0,0,0,1,2,0,0,0,0,3,36
1996,0,0,0,0,0,0,2,5,0,0,0,0,7,23
1997,0,0,0,0,0,3,7,6,0,0,0,0,16,7
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1999,0,0,0,0,0,2,2,10,0,0,0,0,14,9
2000,0,0,0,0,0,3,9,6,0,0,0,0,18,5
2001,0,0,0,0,0,0,0,4,0,0,0,0,4,30
2002,0,0,0,0,0,0,3,0,0,0,0,0,3,36
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2004,0,0,0,0,0,0,4,6,0,0,0,0,10,17
2005,0,0,0,0,0,0,3,3,0,0,0,0,6,26
2006,0,0,0,0,0,0,0,7,0,0,0,0,7,23
2007,0,0,0,0,0,1,0,3,0,0,0,0,4,30
2008,0,0,0,0,0,0,0,3,0,0,0,0,3,36
2009,0,0,0,0,0,0,0,4,0,0,0,0,4,30
2010,0,0,0,0,0,0,0,2,0,0,0,0,2,40
2011,0,0,0,0,0,0,1,2,0,0,0,0,3,36
2012,0,0,0,0,0,2,3,9,0,0,0,0,14,9
2013,0,0,0,0,0,0,0,2,0,0,0,0,2,40
2014,0,0,0,0,1,0,7,2,0,0,0,0,10,17
2015,0,0,0,0,0,1,4,3,0,0,0,0,8,21
2016,0,0,0,0,0,0,4,20,0,0,0,0,24,3
2017,0,0,0,0,0,1,5,7,0,0,0,0,13,11
2018,0,0,0,0,0,0,16,19,0,0,0,0,35,1
2019,0,0,0,0,1,0,4,10,0,0,0,0,15,8
2020,0,0,0,0,0,2,0,2,0,0,0,0,4,30
2021,0,0,0,0,0,0,15,3,0,0,0,0,18,5
2022,0,0,0,0,0,0,10,0,0,0,0,0,10,17
2023,0,0,0,0,0,2,6,11,0,0,0,0,19,4
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,44